REF_AREA;MEASURE;UNIT_MEASURE;MEASURE_PRINCIPLE;ACCOUNTING_ENTRY;TYPE_ENTITY;FDI_COMP;SECTOR;COUNTERPART_AREA;LEVEL_COUNTERPART;ACTIVITY;FREQ;FDI_COLLECTION_ID;TIME_PERIOD;OBS_VALUE;OBS_STATUS;UNIT_MULT;CURRENCY;DECIMALS
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;L;A;CTRY_IND;2023;89.894.359.178.792;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;N;A;CTRY_IND;2023;61.789.914.291.409;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;K;A;CTRY_IND;2023;58.707.062.653.644;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;M;A;CTRY_IND;2023;65.111.952.694.173;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;C;A;CTRY_IND;2023;27.453.325.360.441;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;_T;A;CTRY_IND;2023;22.342.037.073.949;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;_T;A;CTRY_IND;2024;25.561.493.797.836;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;J;A;CTRY_IND;2024;34.045.922.406.968;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;C29_30;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;C10T12;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;C13T18X15;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;C15_23_27_31T33;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;C24T28X27;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;C19T22;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;C;A;CTRY_IND;2024;27.190.551.596.727;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;K;A;CTRY_IND;2024;7.541.567.695.962;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;G;A;CTRY_IND;2024;-32.990.234.890.472;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;L;A;CTRY_IND;2024;10.543.679.070.995;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;_X;A;CTRY_IND;2024;13.939.034.045.922;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;M;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;R;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;P;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;Q;A;CTRY_IND;2024;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;L;A;CTRY_IND;2023;-21.513.520.696.299;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;N;A;CTRY_IND;2024;46.846.133.544.471;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;_X;A;CTRY_IND;2024;162.048.033.782;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DI;NET_FDI;ALL;D;S1;W;IMC;C;A;CTRY_IND;2024;38.407.231.459.488;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;G;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;E;A;CTRY_IND;2023;;A;6;USD;2
AUS;T_D4P_F;USD_EXC;DO;NET_FDI;ALL;D;S1;W;IMC;Q;A;CTRY_IND;2023;;A;6;USD;2
